node_type,relation,estimated_rows,actual_rows,q_error
Aggregate,,183542,1250,146.8336
Gather Merge,,152952,3750,40.7872
Aggregate,,76476,1250,61.1808
Sort,,76476,60921,1.2553306741517702
Hash Join,,76476,60921,1.2553306741517702
Hash Join,,76476,60921,1.2553306741517702
Hash Join,,76476,60921,1.2553306741517702
Hash Join,,76476,60921,1.2553306741517702
Hash Join,,76476,60921,1.2553306741517702
Seq Scan,lineitem,76476,60921,1.2553306741517702
Hash,,1000,1000,1.0
Seq Scan,supplier,1000,1000,1.0
Hash,,88235,50000,1.7647
Seq Scan,orders,88235,50000,1.7647
Hash,,15000,15000,1.0
Seq Scan,customer,15000,15000,1.0
Hash,,810,25,32.4
Seq Scan,nation,810,25,32.4
Hash,,810,25,32.4
Seq Scan,nation,810,25,32.4
